Name,Type,Giver,Location,Material Required 1,Material Amount 1,Material Required 2,Material Amount 2,Material Required 3,Material Amount 3,Caption Start,Caption 2,Caption 3,Caption 4,Caption 5,Caption 6,Caption 7,Caption 8,Caption 9,Caption 10,Caption 11,Caption 12,Caption 13,Caption 14,Caption 15,Caption 16,Caption 17,Caption Complete,Shrine,ID,Menu Order,SortIndex,Type Sort
Gourmets Gone Missing,Side Adventure,Penn,Riverside Stable,-,-,-,-,-,-,"The cook Gotter is worried about some regular
guests who are overdue to arrive at the stable.

He apparently had an appointment with them
where they were going to share a recipe they
had learned from Princess Zelda herself.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The group of gourmets, rejuvenated after eating
a properly prepared meat and rice bowl, set off
for Riverside Stable. Penn told you he would
turn Zelda's recipe into a compelling article,
then took off.",-,Tribune04,040,312,02
The Beast and the Princess,Side Adventure,Penn,New Serenne Stable,-,-,-,-,-,-,"Penn has heard rumors that some have seen
Princess Zelda riding a mountainous beast
with brutal tusks. These sightings come from
all over but seem to happen more in the
subtropical region in the south. You may learn
the truth behind these rumors at various
stables from the travelers who gather there.","Penn has heard rumors that Princess Zelda has
been seen riding a mountainous beast. But it
turns out it wasn't a monster at all. Cima, the
attendant at Lakeside Stable, told you about
Dondons, and when you shared the news with
Penn, he said he wanted to see one for himself.

You should head back and talk with Cima.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It's now clear that the beast rumored to be
under Princess Zelda's control was no monster
at all, but in fact a new kind of animal that the
princess had discovered.",-,Tribune06,041,313,02
Zelda's Golden Horse,Side Adventure,Penn,Snowfield Stable,-,-,-,-,-,-,"Penn's research at Snowfield Stable turned up
a story about Princess Zelda's golden horse,
which has a mane braided with honeycomb
plaits. It was being kept there but ran off
somewhere to the north.

Harlow can't go look for the horse, given that a
huge monster is apparently in the snow fields.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You found the golden horse, and Harlow was
beside herself when you returned the gentle
creature to the stable. She asked you to take
the horse, as it already seems attached to you.
Penn flew off to write the whole story up for the
newspaper.",-,Tribune09,042,321,02
White Goats Gone Missing,Side Adventure,Penn,Tabantha Bridge Stable,-,-,-,-,-,-,"It seems that all of the white goats kept in
Tabantha Bridge Stable have run off together.
According to Penn, these events may somehow
connect to Princess Zelda.

You may learn more by speaking with the
stable hand, Chork, who is responsible for
the white goats.","According to Chork, the white goats ran off
after they were given a special feed made from
a recipe Princess Zelda created. The only thing
left behind when they fled were uneaten Hylian
pine cones.

Did the goats really run off because of the food
they were given? Where did they run off to?",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You've found the white goats that went missing.
Chork is incredibly remorseful for having messed
up the animal-feed recipe, and even more
remorseful for having doubted Princess Zelda's
recipe in the first place. After you told Penn
what happened, he returned to the newspaper
to write up an article about the events.",-,Tribune03,043,323,02
For Our Princess!,Side Adventure,Penn,Foothill Stable,-,-,-,-,-,-,"A group of fellows in their underpants have 
settled in at Foothill Stable. Penn says they're
on the Zonai Survey Team, and they're wearing
only underpants by order of Princess Zelda,
which sounds odd all around to him. He's
also concerned that some of them left to
investigate a monster den on the nearby
mountain road—and have not yet returned.","You found members of the Zonai Survey Team
at the entrance to the Foothill Monster Den
wearing only their underpants. They said they
couldn't defeat the monsters inside, dressed
like that. You agreed to show them how it's
done, so you will need to defeat the monsters
in the cave wearing only your underpants.","You lived up to the promise you made to the
Zonai Survey Team members outside the
Foothill Monster Den and defeated all of the
monsters while wearing only your underpants.

Report back to them at the cave's entrance.","You defeated the cave monsters wearing only
your underpants and reported back to the
Zonai Survey Team members at the entrance.

They've asked you to return to Foothill Stable,
where they plan on telling everyone there
about your great accomplishment.",-,-,-,-,-,-,-,-,-,-,-,-,-,"When you returned to Foothill Stable and 
talked to the Zonai Survey Team, you learned
that Princess Zelda's orders weren't to ""explore
in underpants,"" but instead ""explore all other
paths."" Penn said he'd write up the whole
story, and then he left.",-,Tribune11,044,331,02
The All-Clucking Cucco,Side Adventure,Penn,South Akkala Stable,-,-,-,-,-,-,"Penn scoured near South Akkala Stable for
news leads but couldn't find any. He thought
it'd possibly be a good idea to ask a Cucco
who speaks prophecy for leads.

The bird is on the hill behind the stable, under
a large tree.","You went to a hill near South Akkala Stable,
where a Cucco who talks—and speaks
prophecy—actually exists.

It said that if you faced some trials, it would
somehow lead to more information about
Princess Zelda.","You agreed to face the first trial that the
prophecy-speaking Cucco put before you. Yet,
after you succeeded, it said you had to face
a second trial.

If you do that one, you'll finally get that
information about Princess Zelda.","After you completed the first trial, the
prophecy-speaking Cucco said that you had
to face a second trial. You agreed, and now
must complete it.

If you do, you'll finally get that information
about Princess Zelda.","You completed the trials that the
prophecy-speaking Cucco put before you,
only to learn it was a Yiga trap. They
wanted to exhaust you with needless
work—and then attack!",-,-,-,-,-,-,-,-,-,-,-,-,"The prophecy-speaking Cucco was a ruse
created by the Yiga Clan to lure you to your
doom. When Penn heard your report, he said
it'd all make a great story for the newspaper.
He's going to write about what happened
to warn readers about false oracles.",-,Tribune10,045,341,02
The Missing Farm Tools,Side Adventure,Penn,Wetland Stable,-,-,-,-,-,-,"It seems that Princess Zelda borrowed a
stable's farm tools and hasn't returned them.
Penn has some wild notions about why she'd
need such tools—and why she hasn't returned
them. But he wants more facts.

Apparently Izra, who looks after the stable's
raft, might have more details.","Princess Zelda borrowed tools from a stable
some time ago and headed downriver to
Floret Sandbar. Izra wants to go that same way
on his raft but worries about running into ruins
that now clutter the river.

If only someone would take him down the
river on the raft...",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You discovered why Princess Zelda borrowed
the stable's tools and failed to return them:
she was working on a garden at Floret Sandbar
with Magda, but that was shortly before the
princess vanished during the Upheaval. Penn
was relieved to get the real story—a rare
glimpse of something special few but the
princess knew about.",-,Tribune05,046,351,02
Princess Zelda Kidnapped?!,Side Adventure,Penn,Dueling Peaks Stable,-,-,-,-,-,-,"It seems the Yiga have kidnapped Princess
Zelda. The ruffians left behind a single clue:
""We have taken Zelda to the carved-out
heart of the towering twins!""

The word ""twins"" seems to have caught
Penn's attention...","You followed the clue that the Yiga left behind:
""We have taken Zelda to the carved-out
heart of the towering twins!""

You thought you had found Zelda trapped in
a cage, but it was really a Yiga in disguise.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The imprisoned Zelda was an impostor. You
escaped the Yiga's trap and reported the truth
of the matter to Penn. It seems he'll retell the
exciting tale in an upcoming newspaper article.",-,Tribune02,047,361,02
An Eerie Voice,Side Adventure,Penn,Highland Stable,-,-,-,-,-,-,"""Leave the...rms..."" According to Penn, a voice
has been heard at Highland Stable at night.
Witnesses say it comes from Fural Plain to the
northwest, and it sounds like Zelda. But no
one has actually seen the mysterious woman.

Accompany Penn at night, and investigate the
haunting voice.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The haunting voice coming up from the well in
the Fural Plain each night belonged to Sagessa,
who was busy practicing her singing. Having
learned that it was not Princess Zelda, Penn
departed to write an article about this
unusual mystery.",-,Tribune13,048,371,02
The Blocked Well,Side Adventure,Penn,Gerudo Canyon Stable,-,-,-,-,-,-,"Penn's sources told him that Princess Zelda
ordered the well to be made off-limits, but the
reason she did so is a mystery.

Penn thinks it'd be helpful to go down the well
to look for clues, but his wings are too wide for
him to fit.","After climbing down into the well, you found a
rock wall inside and broke it—revealing a cave
crawling with monsters.

For the safety of those at the stable, you
should probably defeat them.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You told Penn what was going on at the bottom
of the well. Now, it's clear why Princess Zelda
didn't want anyone to use the well—there was
a den of monsters down there, and she must
have known about it. Penn is relieved to have
this mystery sorted out. He's going to write up
the whole story for the newspaper.",-,Tribune14,049,381,02
The Flute Player's Plan,Side Adventure,Pyper,Highland Stable,-,-,-,-,-,-,"Pyper tried to make the glowing tree of
Haite's dreams by lighting it on fire, but his
efforts turned to ash. Now he's fired up to
try again using fireflies.

He needs 10 sunset fireflies for his
next attempt.","You gave Pyper 10 sunset fireflies.

In order to show off his glowing tree, Pyper
wants you to bring Haite to the tree at night.","Accompanied by the flute, the fireflies lit up the
darkness and made the tree glow spectacularly.
Haite felt a swell of emotion and could not hold
back a true smile. Inspired, Pyper vowed to
return to the Stable Trotters to hone his craft
and use his music to keep Haite smiling.

Pyper would like to give you a thank-you gift.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Accompanied by the flute, the fireflies lit up the
darkness and made the tree glow spectacularly.
Haite felt a swell of emotion and could not hold
back a true smile. Inspired, Pyper vowed to
return to the Stable Trotters to hone his craft
and use his music to keep Haite smiling.",-,Orchestra03,050,401,02
"Honey, Bee Mine",Side Adventure,Beetz,West Necluda,Courser Bee Honey,3,-,-,-,-,"Beetz wants to cheer up Mastro, his beloved
band leader, by making him a honey crepe.
Unfortunately, he's still missing the key
ingredient.

With three combs of courser bee honey from
the hives near the Kakariko Village chasm,
Beetz is sure he can make a delicious crepe.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You gave Beetz three combs of courser bee
honey, helping him achieve his dream of making
a honey crepe.

He headed off to a stable to resume his former
life as a musician with the Stable Trotters.",-,Orchestra02,051,402,02
The Hornist's Dramatic Escape,Side Adventure,Eustus,Tabantha Frontier,-,-,-,-,-,-,"You met the horn player, Eustus, who has fallen
into a hole in Tabantha Frontier along with
his wagon.

He wants to get out, but not without his wagon.
Is there some way to help?","You managed to get Eustus and his wagon out
of the hole at Tabantha Frontier. He has three
bits of courser bee honey for you as thanks.

Talk to Eustus again when you've made room
in your pouch.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You managed to get Eustus and his wagon out
of the hole at Tabantha Frontier. As a member
of the Stable Trotters who perform at all the
stables in Hyrule, Eustus has gone back to
rejoin his troupe.",-,Orchestra04,052,403,02
Serenade to a Great Fairy,Side Adventure,Penn,Woodland Stable,-,-,-,-,-,-,"A Great Fairy, famous for giving blessings to
travelers, has shut herself up inside her flower
bud. Penn suspects that a blond-haired
woman a musical troupe saw was Princess
Zelda, and has asked you to look into things.

It seems you'll need to bring the musicians to
the Great Fairy if you want to speak with her.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Though the Great Fairy had gone into hiding
after hearing of dire things from a woman who
looked like Princess Zelda, the music of the
troupe convinced her to emerge. She didn't
think that woman was the princess, so her
identity remains a mystery. You did get two
news scoops though: the return of the Great
Fairy...and the Stable Trotters.",-,Tribune16,053,404,02
Serenade to Kaysa,Side Adventure,Mastro,Outskirt Stable,-,-,-,-,-,-,"The Great Fairy Kaysa near Outskirt Stable has
shut herself up inside her flower bud. The sound
of the music troupe's flute might draw her out,
but their flautist, Pyper, is missing.

The only lead is that someone has heard the
sound of a flute near the stable in Faron.","The Great Fairy Kaysa near Outskirt Stable has
shut herself up inside her flower bud. The sound
of the music troupe's flute might draw her out.

Now that the troupe's flautist, Pyper, has
returned, you should check in with Mastro at
Outskirt Stable.","The Great Fairy Kaysa near Outskirt Stable has
shut herself up inside her flower bud. The sound
of the music troupe's flute might draw her out.

But the road to the Great Fairy is so cluttered
with sky debris that you can't get them to
her by horse.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The Stable Trotters put on a performance so
fine that the Great Fairy Kaysa emerged from
her bud. Now visitors to Outskirt Stable can visit
her nearby and receive her blessing.",-,Fairy4,054,405,02
Serenade to Cotera,Side Adventure,Mastro,Dueling Peaks Stable,-,-,-,-,-,-,"The Great Fairy Cotera is hiding in her flower
bud. She says she likes the sound of a drum,
but the drummer Beetz is nowhere to be found.

However, a traveler from Kakariko Village heard
the sound of a drum near the road south of
Bonooru's Stand.","You found Beetz, the drummer, as he was trying
to make food to bring Mastro out of his low
spirits. After receiving the ingredients, Beetz
returned to the Stable Trotters.

Go meet with Mastro at Dueling Peaks Stable.","The Great Fairy Cotera is hiding in her flower
bud. She says she likes the sound of a drum.
Mastro is eager to get their troupe to her so
she can hear Beetz play.

The troupe went down to the river near the
stable to see if they can cross it.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The Great Fairy Cotera finally left her bud after
the troupe performed for her. Now visitors to
Dueling Peaks Stable can visit her nearby and
receive her blessing.",-,Fairy3,055,406,02
Serenade to Mija,Side Adventure,Mastro,Snowfield Stable,-,-,-,-,-,-,"The Great Fairy Mija is hiding in her flower bud,
found in the foothills of a mountain near
Snowfield Stable. Horn music might draw her
out, but the horn player Eustus is missing.

A traveler who'd come from the south reported
hearing the sound of a horn along the road in
the area around Tabantha Great Bridge.","It's said that the Great Fairy Mija, who lives on
the lower slope of a mountain near Snowfield
Stable, won't come out of her bud. Eustus,
the Stable Trotters member that Mastro was
searching for, has safely returned to the troupe.

Go talk to Mastro at Snowfield Stable.","It's said that the Great Fairy who lives on the
lower slope of a mountain near Snowfield Stable
won't come out of her bud. Mastro thinks the
Stable Trotters' horn music will bring her out.

They'd like to go to her, but their wagon has no
roof, so he's worried the band will catch cold in
the snow. For now, they're stuck at the stable.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The Stable Trotters' performance inspired the
Great Fairy to leave her bud. The horn player,
Eustus, was moved that she enjoyed his
music. Mastro gave you a silver rupee as a
thank-you for helping his troupe.",-,Fairy2,056,407,02
Bring Peace to Hyrule Field!,Side Adventure,Hoz,Central Hyrule,-,-,-,-,-,-,"A monster-control-crew squad led by Hoz is on
its way to a monster stronghold in Hyrule Field.

Once they approach it, they'll wait for an
opportunity to strike. Join the squad as they
head to the stronghold.","Hoz's squad of the monster-control crew is
battling monsters in Hyrule Field.

Join the squad and defeat all of the monsters!",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You helped Hoz's squad of the monster-
control crew by defeating the monsters in
the stronghold.

The squad's next destination is Fort Hateno in
Necluda, which is found in the southeast region
of Hyrule.",-,MercenaryChallenge_HyrulePlain,057,451,02
Bring Peace to Necluda!,Side Adventure,Hoz,Central Hyrule,-,-,-,-,-,-,"Hoz's squad of the monster-control crew is
heading to Fort Hateno next. It's located in
Necluda, which is in southeast Hyrule. They
plan to hunt down more monsters there.

If you head that way, you might be able to lend
Hoz and his squad a hand.","Hoz's squad is approaching a stronghold of
monsters at Fort Hateno.

They plan to charge the stronghold once they
get closer to it. Head for the stronghold with the
monster-control crew.","The monster-control-crew squad led by Hoz is
in the midst of fighting monsters at Fort Hateno.

Join the crew and help them defeat all of
the monsters!",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You helped Hoz's squad of the monster-
control crew by defeating the monsters that
had taken over the fort.

But as long as the blood moon continues to
resurrect monsters, Hoz and his squad must
continue to fight.",-,MercenaryChallenge_Hebra,058,452,02
Bring Peace to Eldin!,Side Adventure,Toren,Eldin Canyon,-,-,-,-,-,-,"Monsters have infested Eldin, and Toren
is leading his squad on a mission to attack
their stronghold.

The squad plans to get closer to the stronghold
first and then launch their attack. Head for the
stronghold with the monster-control crew.","The squad of the monster-control crew led by
Toren is fighting monsters in Eldin.

Join the squad, and help them take down every
last monster!",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You helped Toren's squad of the monster-
control crew by defeating the monsters in the
cave stronghold.

The squad's next destination is the Akkala Span
in Akkala, which is found in the northeast
region of Hyrule.",-,MercenaryChallenge_Eldin,059,453,02
Bring Peace to Akkala!,Side Adventure,Toren,Eldin Canyon,-,-,-,-,-,-,"The monster-control-crew squad led by Toren
is heading to the Akkala Span in Akkala, found
in the northeast region of Hyrule. They plan to
attack a group of monsters there.

If you join them, you can lend a hand with
their monster-control mission.","Toren's squad is preparing to attack a
monster stronghold at the Akkala Span.

They plan to get close to the stronghold first
and then attack. Join the monster-control crew
as they head to the stronghold.","The monster-control-crew squad led by Toren is
fighting monsters at the Akkala Span.

Join the squad and defeat all the monsters!",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You helped Toren's squad of the monster-
control crew by defeating the monsters that
had taken over the bridge.

But as long as the blood moon continues to
resurrect monsters, Toren and his squad must
continue to fight.",-,MercenaryChallenge_Akkare,060,454,02
Bring Peace to Faron!,Side Adventure,Flaxel,Faron Grasslands,-,-,-,-,-,-,"The squad of the monster-control crew led by
Flaxel is having a hard time figuring out how to
take out monsters that have infested a ship.

The creatures have destroyed the only bridge
leading to the ship. Without first repairing the
bridge, it'll be difficult for the crew to board
the ship.","With the bridge to the ship repaired, the
monster-control crew began their assault
on the monsters.

Join the crew and help them eliminate
every last monster!",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"All of the monsters aboard the ship moored in
the Menoat River have been defeated!

Flaxel plans to lead her monster-control-crew
squad to the South Tabantha Snowfield next.
It's in Hebra to the northwest. She asked you to
assist her squad again if you have the chance.",-,MercenaryChallenge_Firone,061,455,02
Bring Peace to Hebra!,Side Adventure,Flaxel,Faron Grasslands,-,-,-,-,-,-,"Flaxel's squad of the monster-control crew is
headed to South Tabantha Snowfield next. It's
located in Hebra, in northwest Hyrule. They plan
to take out even more monsters there.

If you head that way, you might be able to lend
Flaxel and her squad a hand.","Flaxel's monster-control-crew squad has
reached a monster fort, but they can't breach it
and launch their attack because an iron ball is
blocking the entrance.

The ball has to be removed before Flaxel's
squad can take over the fort.","Flaxel's squad of the monster-control crew has
launched an attack on the monster fort!

Join the squad, and help them wipe out all of
the monsters!",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You helped Flaxel's squad of the monster-
control crew by defeating the monsters in
the fort.

But as long as the blood moon continues to
resurrect monsters, Flaxel and her squad must
continue to fight.",-,MercenaryChallenge_Hateru,062,456,02
Hestu's Concerns,Side Adventure,Hestu,-,-,-,-,-,-,-,"You ran into the Korok Hestu at the foot of
Lindor's Brow. He's afraid of something and
has stopped in his tracks.

There are trees where he pointed, but what
could he be so afraid of?","Hestu lost the Korok seeds that were in
his maracas. It sounds like it may have been
the children of the forest who took them.

If you collect Korok seeds and bring them to
Hestu, he says he will help you by expanding
your inventory.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You gave Hestu a Korok seed. As thanks, he
sang and danced to expand your inventory.

He also told you that if you bring him more
Korok seeds in the future, he will continue to
expand your inventory.",-,OldKorokHelp,063,491,02
The Hunt for Bubbul Gems!,Side Adventure,Koltin,Eldin Canyon,-,-,-,-,-,-,"Koltin dreams of becoming a legendary creature
known as a Satori. He says he needs a Bubbul
gem in order to achieve this dream.

Strange creatures known as Bubbulfrogs can be
found in caves all over the world and have been
known to drop these items when weakened.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You gave Koltin a Bubbul gem, and he gave
you a reward as thanks!

Koltin has taken his stall and set out on
a journey to collect Bubbul gems in hopes
of fulfilling his dream to become a Satori.",-,NushiShop_Tutorial,064,511,02
The Search for Koltin,Side Adventure,Koltin,Eldin Canyon,-,-,-,-,-,-,"Koltin has taken his stall and set out on
a journey to find something called
Bubbul gems. Travel around Hyrule
and see if you can find him.

His older brother, Kilton, has settled down
in Tarrey Town and may have an idea where
Koltin is.","Koltin has taken his stall and set out on
a journey to find something called
Bubbul gems. Travel around Hyrule
and see if you can find him.

According to his older brother, Kilton, his stall
is sometimes seen northwest of Tarrey Town
at night.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You found Koltin! He dreams of becoming a 
legendary creature known as a Satori. To make
this dream a reality, Koltin is traveling around
Hyrule at night with his stall seeking out
Bubbul gems. Bring him what he wants, and
he'll trade you the treasures he's collected.",-,NushiShop_Challenge00,065,512,02
A Monstrous Collection I,Side Adventure,Kilton,Tarrey Town,-,-,-,-,-,-,"Kilton wants Hudson to craft a sculpture that
looks like a Bokoblin for him, but he's finding it
difficult to describe what a Bokoblin looks like.

Hudson explained that he'd have no problem
making the sculpture if he had a detailed picture
of the monster to look at for reference.","You showed Hudson a picture of a Bokoblin,
and he made a sculpture from it. Now Kilton
would like that sculpture moved to a stage.

Let Kilton know once you have placed it on
the stage.","The Bokoblin sculpture was placed on the
stage, and Kilton treated the villagers to a
presentation about the monster.

Now he wants to give you a reward for all your
help. Be sure to make room for Kilton's present
among your belongings, and then go see him.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The Bokoblin sculpture was placed on the
stage, and Kilton treated the villagers to a
presentation about the monster.

It's been a dream of Kilton's to teach folks
about monsters and help them see that they
have good traits too. He's thrilled to be on
his way toward making that dream a reality.",-,MonsterFigures01,066,521,02
A Monstrous Collection II,Side Adventure,Kilton,Tarrey Town,-,-,-,-,-,-,"Kilton wants Hudson to make a Horriblin
sculpture for him, but he's finding it difficult to
describe what a Horriblin looks like.

Hudson explained that he'd have no problem
making the sculpture if he had a detailed picture
of the monster to look at for reference.","You showed Hudson a picture of a Horriblin,
and he made a sculpture of it. Now Kilton
wants the sculpture moved to a stage.

Let Kilton know once you have placed it on
the stage.","Kilton called the villagers together to show
off the Horriblin sculpture and then treated
everyone to a presentation about the monster.

Now he wants to give you a reward for all your
help. Be sure to make room for Kilton's present
among your belongings, and then go see him.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Kilton called the villagers together to show
off the Horriblin sculpture and then treated
everyone to a presentation about the monster.

Hudson was so happy with how the project
turned out, he wants to make more sculptures.
If you bring him a picture of a monster, he's
likely to use it as reference for a sculpture.",-,MonsterFigures02,067,522,02
A Monstrous Collection III,Side Adventure,Kilton,Tarrey Town,-,-,-,-,-,-,"Now that Hudson is willing to make more
monster sculptures, Kilton is asking for a
sculpture of a Battle Talus.

Hudson said he could make one but only if he
had a detailed picture of the monster.","You showed Hudson a picture of a Battle Talus,
and he was able to make the Battle Talus
sculpture. Now Kilton would like it moved to a
stage.

Let Kilton know once you've placed the
sculpture on the stage.","The Battle Talus sculpture was placed on the
stage, and Kilton treated the villagers to a
presentation about the monster.

Now he wants to give you a reward for all your
help. Be sure to make room for Kilton's present
among your belongings, and then go see him.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The Battle Talus sculpture was placed on the
stage, and Kilton treated the villagers to a
presentation about the monster.

It's been a dream of Kilton's to teach folks
about the good side of monsters, so he's
thrilled to be one step closer to making that
dream a reality.",-,MonsterFigures03,068,523,02
A Monstrous Collection IV,Side Adventure,Kilton,Tarrey Town,-,-,-,-,-,-,"Now that Hudson is willing to make more
monster sculptures, Kilton is asking for a
sculpture of a Frox.

Hudson said he could make one but only if he
had a detailed picture of the monster.","You showed Hudson a picture of a Frox, and he
made the Frox sculpture. Now Kilton wants the
sculpture moved to a stage.

Let Kilton know once you have placed it on
the stage.","The Frox sculpture was placed on the stage,
and Kilton treated the villagers to a presentation
about the monster.

Now he wants to give you a reward for all your
help. Be sure to make room for Kilton's present
among your belongings, and then go see him.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The Frox sculpture was placed on the stage,
and Kilton treated the villagers to a presentation
about the monster.

It's been his dream to teach folks that monsters
have good traits too, and he's thrilled to finally
see his dream become a reality.",-,MonsterFigures04,069,524,02
A Monstrous Collection V,Side Adventure,Kilton,Tarrey Town,-,-,-,-,-,-,"Now that Hudson is willing to make more
monster sculptures, Kilton is asking for a
sculpture of a King Gleeok.

Hudson said he could make one but only if he
had a detailed picture of the monster.","You showed Hudson a picture of a King Gleeok,
and he made the King Gleeok sculpture. Now
Kilton wants the sculpture moved to a stage.

Let Kilton know once you have placed it on
the stage.","The King Gleeok sculpture was placed on the
stage, and Kilton treated the villagers to a
presentation about the monster.

Now he wants to give you a reward for all your
help. Be sure to make room for Kilton's present
among your belongings, and then go see him.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The King Gleeok sculpture was placed on the
stage, and Kilton treated the villagers to a
presentation about the monster.

It's been a dream of Kilton's to teach folks
about monsters and help them see that they
have good traits too. He's thrilled to be on
his way toward making that dream a reality.",-,MonsterFigures05,070,525,02
Investigate the Thyphlo Ruins,Side Adventure,Kazul,Thyphlo Ruins,-,-,-,-,-,-,"Kazul of the Zonai Survey Team is looking into
monoliths at the Thyphlo Ruins.

You should see what is written there.","You read mysterious instructions on a monolith
discovered by Kazul of the Zonai Survey Team.

Search the Thyphlo Ruins, and find the place
mentioned in the riddle.","Once you found all four stone huts hidden in
the Thyphlo Ruins, you heard a loud sound
from somewhere.

What could have happened in the ruins?","You discovered a monolith in the Thyphlo Ruins
basement. Inspired, Kazul of the Zonai Survey
Team wants to reward you with a large Zonai
charge, a big battery, and a diamond.

However, your pouch was full, so you were
unable to receive the reward. You should make
some room and come back.",-,-,-,-,-,-,-,-,-,-,-,-,-,"The writing on the monolith discovered in the
basement of the Thyphlo Ruins said the ruins
were built to commemorate the king and sages
who defended Hyrule from the Demon King.

Inspired by the monolith, Kazul of the Zonai
Survey Team was eager to report to the
division headquarters.",-,BlindRuinsTreasure,071,601,02
The Owl Protected by Dragons,Side Adventure,Kazul,Thyphlo Ruins,-,-,-,-,-,-,"The Zonai researcher Kazul found a monolith
inscribed with the following: ""Display the power
of the Sage of Wind to the owl protected by
many dragons.""

Try investigating Thyphlo Ruins to find the place
described on the monolith.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""Display the power of the Sage of Wind to the
owl protected by many dragons.""

You found the hidden treasure at the location
hinted at by the monolith.",-,BlindRuinsTreasure_Rito,072,602,02
The Corridor between Two Dragons,Side Adventure,Kazul,Thyphlo Ruins,-,-,-,-,-,-,"The Zonai Survey Team member Kazul found a
monolith inscribed with the following: ""Display
the power of the Sage of Fire to blaze through
the space between two dragons, from head to
tail.""

Try investigating Thyphlo Ruins to find the place
described on the monolith.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""Display the power of the Sage of Fire to blaze
through the space between two dragons, from
head to tail.""

You found the hidden treasure at the location
hinted at by the monolith.",-,BlindRuinsTreasure_Goron,073,603,02
The Six Dragons,Side Adventure,Kazul,Thyphlo Ruins,-,-,-,-,-,-,"The Zonai researcher Kazul found a monolith
inscribed with the following: ""Display the power
of the Sage of Water in the presence of the
six dragons.""

Try investigating Thyphlo Ruins to find the place
described on the monolith.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""Display the power of the Sage of Water in the
presence of the six dragons.""

You found the hidden treasure at the location
hinted at by the monolith.",-,BlindRuinsTreasure_Zora,074,604,02
The Long Dragon,Side Adventure,Kazul,Thyphlo Ruins,-,-,-,-,-,-,"The Zonai researcher Kazul found a monolith
inscribed with the following: ""Display the power
of the Sage of Lightning at the end of the long
dragon that protects the mountain of death.""

Try investigating Thyphlo Ruins to find the place
described on the monolith.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""Display the power of the Sage of Lightning at
the end of the long dragon that protects the
mountain of death.""

You found the hidden treasure at the location
hinted at by the monolith.",-,BlindRuinsTreasure_Gerudo,075,605,02
Legend of the Great Sky Island,Side Adventure,Steward Construct,Great Sky Island,-,-,-,-,-,-,"You followed the column of light to the roof
of the Temple of Time and found a steward
construct there. The construct is conducting a
ceremonial trial meant to test visitors.

Talk to the construct when you are ready to try
completing the ceremony.","The construct's ceremony has begun. Light all
of the bonfires on the island without setting foot
on any ground except the top of the temple.
Complete this before the bell rings at 7:00 PM.

There are three bonfires left.","The construct's ceremony has begun. Light all
of the bonfires on the island without setting foot
on any ground except the top of the temple.
Complete this before the bell rings at 7:00 PM.

There are two bonfires left.","The construct's ceremony has begun. Light all
of the bonfires on the island without setting foot
on any ground except the top of the temple.
Complete this before the bell rings at 7:00 PM.

There is one bonfire left.","You failed the construct's trial.

Talk to the construct to try again.","All of the bonfires have been lit. Return to the
construct and let it know.

Be sure to return within the time limit and
without setting foot on the ground.",-,-,-,-,-,-,-,-,-,-,-,"You lit all of the bonfires and returned to the
Steward Construct. In return, the construct told
you how the Temple of Time and Great Sky
Island—once a part of the surface—came to
float in the sky so as to remain protected.

It also presented you with fabric adorned with
the Zonai crest.",-,FirstskyislandReturns,076,701,02
